RNAseq_sample_name,replicate_sample,sample_name,well_id,microarray_run_id,ontology_color,main_structure,sub_structure,ontology_structure_id,ontology_structure_acronym,hemisphere,brain,million_clusters,clip_percentage,RIN_RNA_quality,rnaseq_run_id,A.Pct,C.Pct,G.Pct,T.Pct,N.Pct
S020008_L7.LB13,No,S020008,4569,275-201,#E8D959,FL,SFG-l,4024,SFG-l,L,2,33.696,1.86,8.6,H15601,25.38,24.74,24.2,25.68,0
S020013_L7.LB3,No,S020013,4514,275-201,#E8D959,FL,SFG-m,4026,SFG-m,R,2,36.747,6.03,8.3,H15967,25.66,24.65,23.89,25.8,0.01
S020019_L2.LB9,No,S020019,4562,275-201,#E8D959,FL,SFG-l,4024,SFG-l,L,2,33.115,2.33,8.6,H15602,25.54,24.69,23.89,25.88,0.01
S020024_L8.LB22,No,S020024,4602,275-205,#E8C659,FL,orIFG,4045,orIFG,L,2,35.5,2.51,8.2,H15601,25.54,24.63,23.99,25.83,0
S020027_L6.LB6,No,S020027,4531,275-201,#E8C659,FL,orIFG,4046,orIFG,R,2,30.29,1.44,8,H15602,25.28,24.85,24.13,25.74,0
S020032_L7.LB13,No,S020032,4563,275-201,#E8CB59,FL,OrbGyri,4051,MOrG,L,2,30.885,2.14,7.4,H15602,25.3,24.84,24.15,25.7,0
S020033_L8.LB23,No,S020033,4571,275-201,#E8CB59,FL,OrbGyri,4052,MOrG,R,2,33.608,1.42,7.8,H15601,25.84,24.31,23.66,26.19,0
S020037_L3.LB15,No,S020037,4603,275-201,#E8CD59,FL,MFG,4034,MFG-i,R,2,38.114,2.38,8.2,H16345,25.11,24.95,24.51,25.42,0.01
S020038_L3.LB8,No,S020038,4516,275-201,#E8CD59,FL,MFG,4033,MFG-s,R,2,53.007,1.34,7.5,H15970,25.28,24.76,24.36,25.59,0.01
S020039_L2.LB7,No,S020039,4524,275-201,#E8D959,FL,SFG-l,4027,SFG-l,R,2,39.749,1.82,7.5,H16345,24.95,25.03,24.65,25.35,0.01
S020040_L1.LB1,No,S020040,4532,275-201,#7F5B33,CgG,CgG,4226,CgGf-s,R,2,33.788,1.64,7.8,H15601,25.57,24.6,23.98,25.85,0
S020041_L8.LB25,No,S020041,4540,275-201,#E8D959,FL,SFG-m,4023,SFG-m,L,2,36.31,0.98,7.5,H15601,25.9,24.29,23.54,26.26,0
S020046_L1.LB4,No,S020046,4572,275-201,#E8D659,FL,PrG,4012,PrG-prc,L,2,30.909,6.54,7.7,H15601,25.42,25.01,24.14,25.42,0
S020055_L3.LB12,No,S020055,4549,275-201,#895BFF,Str,Caudate,4284,HCd,R,2,31.871,1.47,7.5,H15601,25.63,24.45,23.87,26.05,0
S020057_L3.LB14,No,S020057,4565,275-201,#EFFF61,Ins,Insula,4274,SIG,R,2,32.561,1.71,8.2,H15601,25.48,24.68,24.05,25.8,0
