structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z
4322,10,5705,CX,"Cl","claustrum, left",978619,120,91,71,-29.2,5.8,-2.6
4291,10,5713,CX,"Acb","nucleus accumbens, left",998603,103,96,71,-10.1,5.9,-8.4
4292,10,5721,CX,"Acb","nucleus accumbens, right",998604,86,95,69,8.9,8.5,-7.4
4292,11,5729,CX,"Acb","nucleus accumbens, right",999200,87,95,76,7.9,0.8,-6.7
4314,11,5737,CX,"SI","substantia innominata, right",992030,79,97,76,16.9,0.9,-9.1
4323,11,5745,CX,"Cl","claustrum, right",992127,61,86,78,37.0,-0.5,4.1
4298,11,5753,CX,"GPe","globus pallidus, external segment, right",991186,82,89,75,13.4,2.2,0.2
4382,11,5666,CX,"LA","lateral nucleus, right",992123,72,108,75,24.8,1.7,-22.1
4335,11,5674,CX,"ATZ","amygdalohippocampal transition zone, right",992126,77,102,76,19.2,0.7,-14.9
4346,11,5682,CX,"BLA","basolateral nucleus, right",992121,78,108,75,18.1,1.6,-22.1
4355,11,5690,CX,"BMA","basomedial nucleus, right",992122,76,106,75,20.3,1.7,-19.8
4307,11,5698,CX,"SI","substantia innominata, left",990119,102,97,75,-8.9,1.5,-9.2
4301,11,5706,CX,"SptN","septal nuclei, left",990118,93,85,74,1.0,3.3,4.8
4304,11,5714,CX,"SptN","septal nuclei, right",1000027,92,83,73,2.1,4.5,7.1
4295,11,5730,CX,"GPe","globus pallidus, external segment, left",991153,105,91,74,-12.3,2.8,-2.2
4322,11,5738,CX,"Cl","claustrum, left",987617,124,88,78,-33.6,-1.8,1.7
4323,13,5667,CX,"Cl","claustrum, right",997156,67,84,94,30.4,-18.0,8.0
4322,13,5675,CX,"Cl","claustrum, left",997493,122,88,92,-31.2,-17.0,3.0
4301,12,5683,CX,"SptN","septal nuclei, left",996326,95,74,82,-1.2,-5.1,18.6
4263,17,5707,CX,"CA1","CA1 field, right",1001646,77,89,116,19.5,-42.4,4.3
4264,17,5715,CX,"CA2","CA2 field, right",1001641,75,86,115,21.7,-41.2,7.7
4265,17,5723,CX,"CA3","CA3 field, right",1001496,76,86,115,20.6,-41.2,7.7
4266,17,5731,CX,"CA4","CA4 field, right",1001475,76,87,115,20.6,-41.2,6.6
4267,17,5739,CX,"DG","dentate gyrus, right",998739,75,87,115,21.8,-41.2,6.6
4286,17,5747,CX,"BCd","body of caudate nucleus, right",1001647,75,80,113,21.7,-38.7,14.6
4292,9,5665,CX,"Acb","nucleus accumbens, right",979628,83,92,58,12.1,20.6,-5.0
4323,9,5673,CX,"Cl","claustrum, right",978486,71,90,59,25.6,19.8,-2.5
4322,9,5689,CX,"Cl","claustrum, left",977015,116,94,57,-24.9,21.0,-7.5
4291,9,5681,CX,"Acb","nucleus accumbens, left",978309,105,94,58,-12.5,20.1,-7.4
4323,10,5697,CX,"Cl","claustrum, right",978365,68,94,69,29.1,8.8,-6.2
4251,17,5755,CX,"S","subiculum, left",1002563,108,85,113,-15.3,-39.6,8.7
4254,17,5668,CX,"CA1","CA1 field, left",1002584,111,82,114,-18.6,-40.6,12.3
4255,17,5676,CX,"CA2","CA2 field, left",1002583,111,79,112,-18.7,-38.3,15.6
4256,17,5684,CX,"CA3","CA3 field, left",1002649,108,77,110,-15.4,-36.0,17.8
4257,17,5692,CX,"CA4","CA4 field, left",1002282,107,77,110,-14.3,-36.0,17.8
4258,17,5700,CX,"DG","dentate gyrus, left",998938,109,77,110,-16.5,-36.0,17.8
4282,17,5708,CX,"BCd","body of caudate nucleus, left",1002812,116,80,116,-24.2,-42.8,14.8
4289,10,4557,CX,"Pu","putamen, right",978378,74,87,69,22.3,9.0,2.0
4043,10,4588,CX,"opIFG","inferior frontal gyrus, opercular part, right",978447,44,84,66,55.8,13.0,5.3
4058,10,4596,CX,"POrG","posterior orbital gyrus, right",978444,66,103,69,31.4,8.5,-16.8
4906,10,4604,CX,"TP-s","temporal pole, right, superior aspect",978446,59,104,69,39.3,8.6,-18.0
4014,10,4581,CX,"PrG-il","precentral gyrus, left, inferior lateral aspect of gyrus",978624,139,83,71,-50.6,5.7,6.8
4069,10,4573,CX,"PaOG","parolfactory gyri, left",978622,119,102,71,-28.0,5.4,-15.5
4273,10,4589,CX,"SIG","short insular gyri, left",978621,124,80,71,-33.8,6.1,10.4
