GeneSym	UniprotACC	GeneID
E2F8	A0AVK6	79733
ESYT2	A0FGR8	57488
SH3PXD2B	A1X283	285590
CNOT1	A5YKK6	23019
PGP	A6NDG6	283871
GNAT3	A8MTJ3	346562
SGK1	O00141	6446
ACOT7	O00154	11332
KCNK1	O00180	3775
SULT2B1	O00204	6820
TAF4	O00268	6874
HIP1	O00291	3092
ARNTL	O00327	406
PIK3CD	O00329	5293
PDE2A	O00408	5138
DNM1L	O00429	10059
PIK3R2	O00459	5296
AGRN	O00468	375790
SLC17A3	O00476	10786
NR5A2	O00482	2494
SDCBP	O00560	6386
DDX3X	O00571	1654
PDXK	O00764	8566
BHLHE40	O14503	8553
NDUFAB1	O14561	4706
CCS	O14618	9973
ADAM10	O14672	102
MAP2K7	O14733	5609
ACOT8	O14734	10005
PRMT5	O14744	10419
SLC9A3R1	O14745	9368
MEIS2	O14770	4212
BACH1	O14867	571
IKBKB	O14920	3551
EREG	O14944	2069
AURKA	O14965	6790
RAB29	O14966	8934
PIP5K1B	O14986	8395
SYNJ2	O15056	8871
SMAD7	O15105	4092
TBX3	O15119	6926
PLSCR1	O15162	5359
TRIM24	O15164	8805
AXIN1	O15169	8312
T	O15178	6862
SLC22A2	O15244	6582
SLC22A1	O15245	6580
TCAP	O15273	8557
OGT	O15294	8473
RAD51B	O15315	5890
TP73	O15350	7161
GPR37	O15354	2861
HDAC3	O15379	8841
FOXP2	O15409	93986
ABCC3	O15438	8714
CLOCK	O15516	9575
FGF10	O15520	2255
NKX2-8	O15522	26257
OGG1	O15527	4968
PDPK1	O15530	5170
TAPBP	O15533	6892
PER1	O15534	5187
P2RX6	O15547	9127
CRX	O43186	1406
DAPK3	O43293	1613
PPIP5K2	O43314	23262
AQP9	O43315	366
RIPK2	O43353	8767
TXNL1	O43396	9352
SYNJ1	O43426	8867
SUV39H1	O43463	6839
KLF4	O43474	9314
RAD51C	O43502	5889
SLC26A4	O43511	5172
FOXO3	O43524	2309
SMAD6	O43541	4091
XRCC3	O43542	7517
XRCC2	O43543	7516
RGS14	O43566	10636
HR	O43593	55806
TCF21	O43680	6943
ACTN4	O43707	81
ENSA	O43768	2029
MYO1B	O43795	4430
SLC25A17	O43808	10478
NUDT21	O43809	11051
LANCL1	O43813	10314
VEGFD	O43915	2277
AIRE	O43918	326
CXCL13	O43927	10563
MED14	O60244	9282
FGF17	O60258	8822
PRKN	O60260	5071
KDM1A	O60341	23028
SNX3	O60493	8724
CCNT1	O60563	904
CCNT2	O60583	905
TLR2	O60603	7097
JAK2	O60674	3717
ABCC9	O60706	10060
SLC24A1	O60721	9187
HCN1	O60741	348980
SNX2	O60749	6643
HPGDS	O60760	27306
DKC1	O60832	1736
EDF1	O60869	8721
CPNE3	O75131	8895
HIP1R	O75146	9026
PHF2	O75151	5253
KDM4A	O75164	9682
DUSP11	O75319	8446
H2AFY	O75367	9555
NCOR1	O75376	9611
ULK1	O75385	8408
POLQ	O75417	10721
MED24	O75448	9862
ERN1	O75460	2081
TADA3	O75528	10474
LRP6	O75581	4040
FOXH1	O75593	8928
RAD51D	O75771	5892
KLF7	O75840	8609
IDH1	O75874	3417
CCNK	O75909	8812
PIAS1	O75925	8554
CDKL5	O76039	6792
SLC22A5	O76082	6584
FGF18	O76093	8817
SRP72	O76094	6731
TRPM2	O94759	7226
RECQL4	O94761	9401
RECQL5	O94762	9400
MTA2	O94776	9219
SLIT2	O94813	9353
TRIM37	O94972	4591
SNX4	O95219	8723
RASGRP1	O95267	10125
VAPB	O95292	9217
BMP10	O95393	27302
PARN	O95453	5073
LARGE1	O95461	9215
ABCA1	O95477	19
TDP2	O95551	51567
NFATC1	O95644	4772
ESRRB	O95718	2103
LATS1	O95835	9113
MBD3	O95983	53615
NUDT3	O95989	11165
BCL10	O95999	8915
HAND1	O96004	9421
ALDH1A1	P00352	216
GLUD1	P00367	2746
DHFR	P00374	1719
SOD1	P00441	6647
ABL1	P00519	25
EGFR	P00533	1956
F2	P00734	2147
PLG	P00747	5340
AGT	P01019	183
A2M	P01023	2
FOS	P01100	2353
MYC	P01106	4609
PDGFB	P01127	5155
LDLR	P01130	3949
EGF	P01133	1950
TGFB1	P01137	7040
AVP	P01185	551
POMC	P01189	5443
PTH	P01270	5741
IGF2	P01344	3481
JCHAIN	P01591	3512
CD4	P01730	920
APOA1	P02647	335
APOE	P02649	348
APOA2	P02652	336
APOC1	P02654	341
APOC2	P02655	344
APOC3	P02656	345
CHRNA1	P02708	1134
SLC4A1	P02730	6521
CRP	P02741	1401
FN1	P02751	2335
AMBP	P02760	259
ALB	P02768	213
TFRC	P02786	7037
LTF	P02788	4057
ESR1	P03372	2099
ANG	P03950	283
CAT	P04040	847
RAF1	P04049	5894
ALDOA	P04075	226
ANXA1	P04083	301
PDGFA	P04085	5154
APOB	P04114	338
NR3C1	P04150	2908
HRG	P04196	3273
CD74	P04233	972
S100B	P04271	6285
VWF	P04275	7450
GAPDH	P04406	2597
ERBB2	P04626	2064
NTRK1	P04629	4914
TP53	P04637	7157
HSPB1	P04792	3315
GNAI2	P04899	2771
ATP1A1	P05023	476
ATP1B1	P05026	481
ITGB3	P05106	3690
S100A8	P05109	6279
SERPINA5	P05154	5104
CYP1A2	P05177	1544
CYP2E1	P05181	1571
FGF1	P05230	2246
JUN	P05412	3725
SSB	P05455	6741
TFAP2A	P05549	7020
ITGB1	P05556	3688
PRKCB	P05771	5579
INSR	P06213	3643
LCK	P06239	3932
FYN	P06241	2534
RB1	P06400	5925
CDK1	P06493	983
ATP5B	P06576	506
S100A9	P06702	6280
APOA4	P06727	337
EIF4E	P06730	1977
ENO1	P06733	2023
PYGL	P06737	5836
NPM1	P06748	4869
ITGAV	P06756	3685
P4HB	P07237	5034
ANXA2	P07355	302
CHRNG	P07510	1146
ADRB2	P07550	154
PSAP	P07602	5660
CTSL	P07711	1514
PFN1	P07737	5216
CD3E	P07766	916
CTSB	P07858	1508
HSP90AA1	P07900	3320
HNRNPC	P07910	3183
ERCC1	P07992	2067
THBS1	P07996	7057
SP1	P08047	6667
IGF1R	P08069	3480
ANXA6	P08133	309
NGFR	P08138	4804
ABCB1	P08183	5243
SLC3A2	P08195	6520
HSP90AB1	P08238	3326
ELANE	P08246	1991
ADH4	P08319	127
MME	P08473	4311
INHBA	P08476	3624
ADRB1	P08588	153
CYP3A4	P08684	1576
IL3	P08700	3562
GNAI3	P08754	2773
IL6R	P08887	3570
ADRA2A	P08913	150
FGF2	P09038	2247
SNRPC	P09234	6631
VIL1	P09327	7429
HMGB1	P09429	3146
GNAO1	P09471	2775
INHBB	P09529	3625
PDGFRB	P09619	5159
HNRNPA1	P09651	3178
CTSH	P09668	1512
CD3G	P09693	917
FGR	P09769	2268
PARP1	P09874	142
UCHL1	P09936	7345
FURIN	P09958	5045
LTA4H	P09960	4048
H2AFZ	P0C0S5	3015
PLA2G4B	P0C869	100137049
HSPA1A	P0DMV8	3303
HSPA1B	P0DMV9	3304
GLI3	P10071	2737
CCL3	P10147	6348
AR	P10275	367
RARA	P10276	5914
ACR	P10323	49
BCL2	P10415	596
NR2F6	P10588	2063
NR2F1	P10589	7025
TXN	P10599	7295
TGFB3	P10600	7043
MAPT	P10636	4137
KIT	P10721	3815
HSPD1	P10809	3329
HSPA5	P11021	3309
HSPA8	P11142	3312
EGR2	P11161	1959
CHRNB1	P11230	1140
RALA	P11233	5898
RALB	P11234	5899
ERG	P11308	2078
FGFR1	P11362	2260
TOP1	P11387	7150
TOP2A	P11388	7153
VDR	P11473	7421
GNAT1	P11488	2779
DMD	P11532	1756
MTHFD1	P11586	4522
CETP	P11597	1071
CYP2C9	P11712	1559
SRF	P11831	6722
PABPC1	P11940	26986
PCNA	P12004	5111
FGF5	P12034	2250
NEFH	P12036	4744
TPR	P12270	7175
BMP2	P12643	650
SKI	P12755	6497
ACTN1	P12814	87
ACE	P12821	1636
SRC	P12931	6714
XRCC6	P12956	2547
XRCC5	P13010	7520
MYF5	P13349	4617
CCL5	P13501	6352
MYH6	P13533	4624
MYH8	P13535	4626
CFTR	P13569	1080
CEACAM1	P13688	634
ANXA8	P13928	653145
ADRB3	P13945	155
MTHFD2	P13995	10797
MIF	P14174	4282
HGF	P14210	3082
NCF1	P14598	653361
HOXB1	P14653	3211
TYR	P14679	7299
IDE	P14735	3416
MMP9	P14780	4318
POU2F1	P14859	5451
ETS1	P14921	2113
JUP	P14923	3728
BRAF	P15056	673
MYOD1	P15172	4654
MYOG	P15173	4656
B4GALT1	P15291	2683
ACPP	P15309	55
EZR	P15311	7430
ATF2	P15336	1386
UCHL3	P15374	7347
KCNE1	P15382	3753
HPGD	P15428	3248
VAV1	P15498	7409
NME1	P15531	4830
VEGFA	P15692	7422
TCF4	P15884	6925
RAG1	P15918	5896
TCF3	P15923	6929
DSP	P15924	1832
RPA2	P15927	6118
GATA1	P15976	2623
NQO2	P16083	4835
SELP	P16109	6403
CREB1	P16220	1385
PDGFRA	P16234	5156
NCK1	P16333	4690
DPEP1	P16444	1800
CD36	P16671	948
YBX3	P16989	8531
HMGA1	P17096	3159
PRKCA	P17252	5578
JUNB	P17275	3726
GJA1	P17302	2697
NPR3	P17342	4883
AKR1C4	P17516	1109
TAL1	P17542	6886
PRKACA	P17612	5566
CEBPB	P17676	1051
PTPN2	P17706	5771
ENG	P17813	2022
DDX5	P17844	1655
PFKL	P17858	5211
XBP1	P17861	7494
IGFBP3	P17936	3486
SPI1	P17947	6688
FLT1	P17948	2321
PTPN1	P18031	5770
EGR1	P18146	1958
IL1RN	P18510	3557
RCC1	P18754	1104
ADRA2C	P18825	152
ATF3	P18847	467
ATF4	P18848	468
ATF6	P18850	22926
GNAZ	P19086	2781
GNAT2	P19087	2780
PLCG1	P19174	5335
TNNI3	P19429	7137
ERCC3	P19447	2071
EIF2AK2	P19525	5610
WT1	P19544	7490
SLC9A1	P19634	6548
RXRA	P19793	6256
AOC1	P19801	26
CEL	P19835	1056
NFKB1	P19838	4790
TBP	P20226	6908
NR1D1	P20393	9572
MSH3	P20585	4437
CAPN3	P20807	825
HNF1A	P20823	6927
RASA1	P20936	5921
CDK11B	P21127	984
ENDOU	P21128	8909
ACO1	P21399	48
ABCB4	P21439	5244
AGXT	P21549	189
SYT1	P21579	6857
TNFAIP3	P21580	7128
TAF1	P21675	6872
FGF7	P21781	2252
FGFR2	P21802	2263
RYR1	P21817	6261
ERBB3	P21860	2065
DRD4	P21917	1815
FBL	P22087	2091
ACHE	P22303	43
SCP2	P22307	6342
UGT1A1	P22309	54658
ENPP1	P22413	5167
USF1	P22415	7391
FGFR4	P22455	2264
KCNA5	P22460	3741
GAL	P22466	51083
FGFR3	P22607	2261
HNRNPA2B1	P22626	3181
CBL	P22681	867
PRKACB	P22694	5567
SFPQ	P23246	6421
PPIB	P23284	5479
RPS3	P23396	6188
MYF6	P23409	4618
JAK1	P23458	3716
SP100	P23497	6672
EIF4B	P23588	1975
ATP2B4	P23634	493
GATA2	P23769	2624
GATA3	P23771	2625
NR2F2	P24468	7026
POLR2A	P24928	5430
CDK2	P24941	1017
APC	P25054	324
GRK2	P25098	156
YY1	P25490	7528
DNAJB1	P25685	3337
ATP5A1	P25705	498
MT3	P25713	4504
CTSS	P25774	1520
LMO2	P25791	4005
UCP1	P25874	7350
DDX6	P26196	1656
PAX6	P26367	5080
HMGB2	P26583	3148
ZFP36	P26651	7538
ACVR2A	P27037	92
PON1	P27169	5444
DPP4	P27487	1803
ARNT	P27540	405
APEX1	P27695	328
CAD	P27708	790
CALR	P27797	811
PIK3R1	P27986	5295
POU1F1	P28069	5449
ELK4	P28324	2005
HTR2C	P28335	3358
TEAD1	P28347	7003
MAPK1	P28482	5594
MZF1	P28698	7593
RXRB	P28702	6257
ERCC5	P28715	2073
IMPA1	P29218	3612
SHC1	P29353	6464
KDM5A	P29375	5927
IL12A	P29459	3592
IL12B	P29460	3593
NOS3	P29474	4846
NOS1	P29475	4842
AQP1	P29972	358
PRDX6	P30041	9588
PRDX3	P30048	10935
ATP5D	P30049	513
PDIA3	P30101	2923
BDKRB2	P30411	624
CLIP1	P30622	6249
SRI	P30626	6717
GCH1	P30793	2643
CORO1A	P31146	11151
SLC6A4	P31645	6532
DNAJA1	P31689	3301
AKT1	P31749	207
IL2RG	P31785	3561
CCKBR	P32239	887
CCR1	P32246	1230
CCR7	P32248	1236
CHRNA3	P32297	1136
GBP1	P32455	2633
CTH	P32929	1491
CIITA	P33076	4261
CYP2C19	P33261	1557
ABCC1	P33527	4363
ABCD1	P33897	215
SHMT1	P34896	6470
EPHX2	P34913	2053
RYK	P34925	6259
BTC	P35070	685
USP6	P35125	9098
CTNNB1	P35222	1499
NOS2	P35228	4843
PHB	P35232	5245
RDX	P35241	5962
OPRM1	P35372	4988
RORA	P35398	6095
CBS	P35520	875
FBN1	P35555	2200
GCK	P35557	2645
PCK1	P35558	5105
IRS1	P35568	3667
MYH9	P35579	4627
MYH10	P35580	4628
ACTN2	P35609	88
ADD1	P35611	118
ADD2	P35612	119
DDIT3	P35638	1649
ATP7B	P35670	540
SOX11	P35716	6664
AHR	P35869	196
HMGCL	P35914	3155
KDR	P35968	3791
GJA5	P36382	2702
TRIM23	P36406	373
MAP2K2	P36507	5605
CHRNA7	P36544	1139
NUDT1	P36639	4521
LONP1	P36776	9361
PPP1CC	P36873	5501
BMPR1A	P36894	657
ACVR1B	P36896	91
TGFBR1	P36897	7046
SREBF1	P36956	6720
ACVRL1	P37023	94
NUP62	P37198	23636
PPARG	P37231	5468
ZEB1	P37275	6935
SNCA	P37840	6622
BRCA1	P38398	672
EIF4A3	P38919	9775
IGHMBP2	P38935	3508
CDKN1A	P38936	1026
FEN1	P39748	2237
MMP12	P39900	4321
IL6ST	P40189	3572
ADH7	P40394	131
STAT3	P40763	6774
SLC26A3	P40879	1811
ETV5	P41161	2119
CASR	P41180	846
WNT5A	P41221	7474
NAA10	P41227	8260
HNF4A	P41235	3172
PRKCI	P41743	5584
ELK3	P41970	2004
STAT1	P42224	6772
AKR1C3	P42330	8644
PIK3CA	P42336	5290
PIK3CB	P42338	5291
MTOR	P42345	2475
CASP3	P42574	836
ABL2	P42684	27
IL12RB1	P42701	3594
LRPPRC	P42704	10128
WAS	P42768	7454
ECE1	P42892	1889
SLC1A4	P43007	6509
PAFAH1B1	P43034	5048
CTSK	P43235	1513
MSH2	P43246	4436
SYK	P43405	6850
GATA4	P43694	2626
NKX2-1	P43699	7080
TNNT3	P45378	7140
MMP13	P45452	4322
ABCG1	P45844	9619
MAPK8	P45983	5599
RECQL	P46063	5965
ATRX	P46100	546
CRK	P46108	1398
CRKL	P46109	1399
BAG6	P46379	7917
NSF	P46459	4905
CDKN1B	P46527	1027
BRCC3	P46736	79184
RPL5	P46777	6125
NEDD4	P46934	4734
YAP1	P46937	10413
IQGAP1	P46940	8826
PLA2G4A	P47712	5321
XDH	P47989	7498
ME1	P48163	4199
RFX3	P48380	5991
SOX2	P48431	6657
SOX9	P48436	6662
NRIP1	P48552	8204
GSS	P48637	2937
PIK3CG	P48736	5294
NR2C2	P49116	7182
MAPKAPK2	P49137	9261
SLC11A2	P49281	4891
ARRB1	P49407	408
GLUD2	P49448	2747
UBE2A	P49459	7319
CTCF	P49711	10664
CEBPA	P49715	1050
COMP	P49747	1311
PSEN1	P49768	5663
GSK3B	P49841	2932
SULT1E1	P49888	6783
MRE11	P49959	4361
GNAQ	P50148	2776
MEOX2	P50222	4223
SLC26A2	P50443	1836
ASCL1	P50553	429
CDK7	P50613	1022
CDK9	P50750	1025
ATP1A2	P50993	477
FXR1	P51114	8087
DUSP3	P51452	1845
DNA2	P51530	1763
SMARCA4	P51532	6597
BRCA2	P51587	675
CYP2J2	P51589	1573
HCFC1	P51610	3054
IRAK1	P51617	3654
HSD17B4	P51659	3295
CCR5	P51681	1234
KCNQ1	P51787	3784
CLCN3	P51790	1182
GPR143	P51810	4935
NR0B1	P51843	190
NCBP2	P52298	22916
MSH6	P52701	2956
EFNA5	P52803	1946
DGKQ	P52824	1609
AKR1C2	P52895	1646
HMGA2	P52926	8091
PPP5C	P53041	5536
PLK1	P53350	5347
DAPK1	P53355	1612
BLM	P54132	641
ATXN3	P54252	4287
TERF1	P54274	7013
PMS2	P54278	5395
PNLIPRP2	P54317	5408
YARS	P54577	8565
USP14	P54578	9097
PRKAG1	P54619	5571
PRKAA2	P54646	5563
EPHA4	P54764	2043
EIF5	P55010	1983
NR1H2	P55055	7376
VCP	P55072	7415
CASP9	P55211	842
FOXA1	P55317	3169
PRMT2	P55345	3275
SNU13	P55769	4809
RAG2	P55895	5897
ARPP19	P56211	10776
HDAC4	P56524	9759
CAV3	P56539	859
SIK1	P57059	150094
RAB38	P57729	23682
GSDMD	P57764	79792
FOXL2	P58012	668
SLC26A5	P58743	375611
TIRAP	P58753	114609
PTEN	P60484	5728
GABARAPL2	P60520	11345
IL2	P60568	3558
ACTB	P60709	60
EIF4A1	P60842	1973
CDC42	P60953	998
RAB8A	P61006	4218
SRP54	P61011	6729
CXCR4	P61073	7852
UBE2M	P61081	9040
UBE2N	P61088	7334
MAX	P61244	4149
HAND2	P61296	9464
ISL1	P61371	3670
TGFB2	P61812	7042
WDR5	P61964	11091
HNRNPK	P61978	3190
YWHAE	P62258	7531
SNRPD3	P62318	6634
ETF1	P62495	2107
RAN	P62826	5901
RPL23	P62829	9349
POLR2L	P62875	5441
RBX1	P62877	9978
FKBP1A	P62942	2280
GRB2	P62993	2885
RAC1	P63000	5879
GNAI1	P63096	2770
SUMO1	P63165	7341
RACK1	P63244	10399
UBE2I	P63279	7329
TNNC1	P63316	7134
YBX1	P67809	4904
UBE2L3	P68036	7332
EEF1A1	P68104	1915
RNF4	P78317	6047
CYP4F2	P78329	8529
DLG4	P78352	1742
PIP4K2B	P78356	8396
ABCA4	P78363	24
PRKDC	P78527	5591
ADAM17	P78536	6868
NTHL1	P78549	4913
SMAD3	P84022	4088
VLDLR	P98155	7436
TFAM	Q00059	7019
PITPNA	Q00169	5306
CDK5	Q00535	1020
CLTC	Q00610	1213
HSF1	Q00613	3297
MDM2	Q00987	4193
SPTBN1	Q01082	6711
INSM1	Q01101	3642
FOXK2	Q01167	3607
RELB	Q01201	5971
SLC7A5	Q01650	8140
TFAP4	Q01664	7023
CACNA1D	Q01668	776
POU4F1	Q01851	5457
POU5F1	Q01860	5460
