Symbol	 Ensemble  Acc 	GeneID
A1CF	ENSG00000148584.10	29974.0
A2M	ENSG00000175899.10	2.0
A2M-AS1	ENSG00000245105.1	144571.0
A2ML1	ENSG00000166535.15	144568.0
A2ML1-AS1	ENSG00000256661.1	100874108.0
A2ML1-AS2	ENSG00000256904.1	106478979.0
A2MP1	ENSG00000256069.3	3.0
AAAS	ENSG00000094914.8	8086.0
AACS	ENSG00000081760.12	65985.0
AACSP1	ENSG00000250420.4	729522.0
AADAC	ENSG00000114771.9	13.0
AADACL2	ENSG00000197953.5	344752.0
AADACL3	ENSG00000188984.7	126767.0
AADACL4	ENSG00000204518.2	343066.0
AADAT	ENSG00000109576.9	51166.0
AAED1	ENSG00000158122.7	195827.0
AAK1	ENSG00000115977.14	22848.0
AAMDC	ENSG00000087884.10	28971.0
AARD	ENSG00000205002.3	441376.0
AARS2	ENSG00000124608.4	57505.0
AASDH	ENSG00000157426.9	132949.0
AASS	ENSG00000008311.10	10157.0
ABCA1	ENSG00000165029.11	19.0
ABCA11P	ENSG00000251595.3	79963.0
ABCA12	ENSG00000144452.10	26154.0
ABCA13	ENSG00000179869.10	154664.0
ABCA2	ENSG00000107331.12	20.0
ABCB10	ENSG00000135776.4	23456.0
ABCB11	ENSG00000073734.8	8647.0
ABCB4	ENSG00000005471.11	5244.0
ABCB5	ENSG00000004846.12	340273.0
ABCB8	ENSG00000197150.8	11194.0
ABCB9	ENSG00000150967.13	23457.0
ABCC2	ENSG00000023839.6	1244.0
ABCC5	ENSG00000114770.12	10057.0
ABCC8	ENSG00000006071.7	6833.0
ABCC9	ENSG00000069431.6	10060.0
ABCD1P5	ENSG00000214330.4	642762.0
ABCD2	ENSG00000173208.3	225.0
ABCD3	ENSG00000117528.7	5825.0
ABCE1	ENSG00000164163.6	6059.0
ABCF1	ENSG00000204574.8	23.0
ABCF2	ENSG00000033050.3	10061.0
ABCF2P1	ENSG00000242159.1	344653.0
ABCF3	ENSG00000161204.7	55324.0
ABCG2	ENSG00000118777.6	9429.0
ABCG4	ENSG00000172350.5	64137.0
ABHD11	ENSG00000106077.14	83451.0
ABHD12B	ENSG00000131969.10	145447.0
ABHD13	ENSG00000139826.5	84945.0
ABHD14A	ENSG00000248487.4	25864.0
ABHD14B	ENSG00000114779.15	84836.0
ABHD16A	ENSG00000204427.7	7920.0
ABHD17AP3	ENSG00000250536.1	648359.0
ABHD4	ENSG00000100439.6	63874.0
ABHD5	ENSG00000011198.3	51099.0
ABHD6	ENSG00000163686.9	57406.0
ABI1	ENSG00000136754.12	10006.0
ABI2	ENSG00000138443.11	10152.0
ABI3BP	ENSG00000154175.12	25890.0
ABLIM2	ENSG00000163995.14	84448.0
ABRA	ENSG00000174429.3	137735.0
